name,hobby,age,educational_level,marital_status,class
92,2,1,1,2,1
10,2,1,3,2,2
83,3,1,4,1,3
61,2,4,2,2,3
107,1,1,3,4,3
113,1,1,3,2,2
80,3,1,3,2,2
125,3,4,2,4,3
36,2,2,1,1,1
105,3,2,1,1,1
81,1,2,1,1,1
122,2,2,3,4,3
94,1,1,2,1,1
60,2,1,2,2,2
8,2,4,1,4,3
20,1,1,3,3,1
85,3,2,1,2,2
50,1,2,1,1,1
68,3,3,2,1,1
89,3,1,3,2,1
34,2,2,1,2,2
63,2,2,2,1,2
65,2,3,2,3,2
117,1,3,2,1,2
56,2,2,1,2,2
59,1,1,1,2,1
76,3,2,2,1,2
1,3,2,1,1,1
28,1,1,2,1,1
22,3,1,4,4,3
29,3,3,2,1,2
111,2,3,2,1,2
97,2,1,3,1,1
49,1,2,1,2,2
51,3,1,1,2,1
87,2,2,4,1,3
58,1,2,2,1,2
32,2,3,2,1,2
72,2,2,1,4,3
55,1,4,2,3,3
103,2,2,1,1,1
7,1,2,1,1,1
99,2,2,3,2,2
15,1,3,2,1,1
126,3,1,2,1,1
45,3,1,1,2,1
101,3,3,1,4,3
100,2,3,4,1,3
24,1,2,3,3,2
124,3,3,2,2,2
