-2.3,0.568,4.78,3.99,3.17,0.125,0.11
-2.3,0.568,4.78,3.99,3.17,0.150,0.27
-2.3,0.568,4.78,3.99,3.17,0.175,0.47
-2.3,0.568,4.78,3.99,3.17,0.200,0.78
-2.3,0.568,4.78,3.99,3.17,0.225,1.18
-2.3,0.568,4.78,3.99,3.17,0.250,1.82
-2.3,0.568,4.78,3.99,3.17,0.275,2.61
-2.3,0.600,5.10,4.17,3.51,0.350,8.68
-2.3,0.600,5.10,4.17,3.51,0.375,12.39
-2.3,0.600,5.10,4.17,3.51,0.400,20.14
-2.3,0.600,5.10,4.17,3.51,0.425,31.77
-2.3,0.600,5.10,4.17,3.51,0.450,47.13
-2.3,0.600,4.34,4.23,2.73,0.125,0.04
-2.3,0.600,4.34,4.23,2.73,0.150,0.17
-2.3,0.600,4.34,4.23,2.73,0.175,0.36
-2.3,0.600,4.34,4.23,2.73,0.200,0.64
0.0,0.530,4.78,3.75,3.15,0.175,0.59
0.0,0.530,4.78,3.75,3.15,0.200,0.92
0.0,0.530,4.78,3.75,3.15,0.225,1.37
0.0,0.530,4.78,3.75,3.15,0.250,1.94
0.0,0.530,4.78,3.75,3.15,0.275,2.62
0.0,0.530,4.78,3.75,3.15,0.300,3.70
0.0,0.530,4.78,3.75,3.15,0.325,5.45
-5.0,0.600,4.78,4.24,3.15,0.175,0.34
-5.0,0.600,4.78,4.24,3.15,0.200,0.63
-5.0,0.600,4.78,4.24,3.15,0.225,1.13
-5.0,0.600,4.78,4.24,3.15,0.250,1.85
-5.0,0.600,4.78,4.24,3.15,0.275,2.84
-5.0,0.600,4.78,4.24,3.15,0.300,4.34
-5.0,0.600,4.78,4.24,3.15,0.325,6.20
-5.0,0.600,4.78,4.24,3.15,0.350,8.62
-2.3,0.568,4.78,3.99,3.17,0.125,0.11
-2.3,0.568,4.78,3.99,3.17,0.150,0.27
-2.3,0.568,4.78,3.99,3.17,0.175,0.47
-2.3,0.568,4.78,3.99,3.17,0.200,0.78
-2.3,0.568,4.78,3.99,3.17,0.225,1.18
-2.3,0.568,4.78,3.99,3.17,0.250,1.82
-2.3,0.568,4.78,3.99,3.17,0.275,2.61
-2.3,0.568,4.78,3.99,3.17,0.300,3.76
-2.3,0.568,4.78,3.99,3.17,0.325,4.99
-2.3,0.568,4.78,3.99,3.17,0.350,7.16
-2.3,0.568,4.78,3.99,3.17,0.375,11.93
-2.3,0.568,4.78,3.99,3.17,0.400,20.11
-2.3,0.568,4.78,3.99,3.17,0.425,32.75
-2.3,0.568,4.78,3.99,3.17,0.450,49.49
-2.3,0.569,4.78,3.04,3.64,0.125,0.04
-2.3,0.569,4.78,3.04,3.64,0.150,0.17
-2.3,0.569,4.78,3.04,3.64,0.175,0.37
-2.3,0.569,4.78,3.04,3.64,0.200,0.66
-2.3,0.569,4.78,3.04,3.64,0.225,1.06
